Periodo	EPU	Elástico	ED(Q=1.0)	ED(Q=1.5)	ED(Q=2)	ED(Q=3)	ED(Q=4)
0.000	117.0	117.0	61.6	61.6	61.6	55.7	55.7
0.100	164.0	175.0	107.2	96.0	86.9	65.1	56.2
0.150	205.0	204.0	129.7	110.4	96.1	67.7	56.1
0.200	194.0	233.0	153.1	124.1	104.4	70.0	56.4
0.250	185.5	262.0	177.3	137.3	112.0	72.1	56.8
0.300	177.0	291.0	202.5	150.0	119.1	74.1	57.3
0.350	170.5	320.0	228.6	162.3	125.8	76.0	58.0
0.400	164.0	320.0	228.6	162.3	125.8	76.0	58.0
0.450	158.0	320.0	228.6	162.3	125.8	76.0	58.0
0.500	152.0	320.0	228.6	162.3	125.8	76.0	58.0
0.550	150.0	320.0	228.6	162.3	125.8	76.0	58.0
0.600	148.0	320.0	228.6	162.3	125.8	76.0	58.0
0.650	153.5	320.0	228.6	162.3	125.8	76.0	58.0
0.700	159.0	320.0	228.6	162.3	125.8	76.0	58.0
0.750	158.5	320.0	228.6	162.3	125.8	76.0	58.0
0.800	158.0	320.0	228.6	162.3	125.8	76.0	58.0
0.850	155.5	320.0	228.6	162.3	125.8	76.0	58.0
0.900	153.0	320.0	228.6	162.3	125.8	76.0	58.0
0.950	147.5	320.0	228.6	162.3	125.8	76.0	58.0
1.000	142.0	320.0	228.6	162.3	125.8	76.0	58.0
1.050	140.5	320.0	228.6	162.3	125.8	76.0	58.0
1.100	139.0	320.0	228.6	162.3	125.8	76.0	58.0
1.150	137.5	320.0	228.6	162.3	125.8	76.0	58.0
1.200	136.0	320.0	228.6	162.3	125.8	76.0	58.0
1.250	133.8	320.0	228.6	162.3	125.8	76.0	58.0
1.300	131.5	320.0	228.6	162.3	125.8	76.0	58.0
1.350	129.3	320.0	228.6	162.3	125.8	76.0	58.0
1.400	127.0	316.6	226.2	160.4	124.2	74.9	57.2
1.450	130.3	304.9	217.8	153.7	118.7	71.4	54.4
1.500	133.5	293.1	209.3	147.1	113.4	68.0	51.8
1.550	136.8	281.4	201.0	140.7	108.3	64.8	49.3
1.600	140.0	270.0	192.8	134.6	103.3	61.8	46.9
1.650	139.8	258.9	184.9	128.7	98.7	58.9	44.7
1.700	139.5	248.2	177.3	123.0	94.2	56.1	42.5
1.750	139.3	238.0	170.0	117.7	90.0	53.5	40.6
1.800	139.0	228.2	163.0	112.6	86.0	51.1	38.7
1.850	136.5	218.9	156.4	107.8	82.2	48.8	36.9
1.900	134.0	210.0	150.0	103.2	78.7	46.6	35.3
1.950	131.5	201.6	144.0	98.9	75.3	44.6	33.7
2.000	129.0	193.5	138.2	94.8	72.1	42.7	32.3
2.050	128.8	185.9	132.8	90.9	69.1	40.9	30.9
2.100	128.5	178.6	127.6	87.3	66.3	39.2	29.6
2.150	128.3	171.7	122.7	83.8	63.6	37.6	28.4
2.200	128.0	165.2	118.0	80.5	61.1	36.1	27.2
2.250	124.0	159.0	113.6	77.4	58.7	34.6	26.1
2.300	120.0	153.1	109.4	74.5	56.4	33.3	25.1
2.350	116.0	147.5	105.4	71.7	54.3	32.0	24.1
2.400	112.0	142.2	101.6	69.0	52.3	30.8	23.2
2.450	110.0	137.1	98.0	66.5	50.4	29.7	22.3
2.500	108.0	132.3	94.5	64.1	48.5	28.6	21.5
2.550	106.0	127.8	91.3	61.9	46.8	27.5	20.7
2.600	104.0	123.4	88.1	59.7	45.2	26.6	20.0
2.650	100.1	119.3	85.2	57.7	43.6	25.6	19.3
2.700	96.2	115.3	82.4	55.7	42.1	24.8	18.6
2.750	92.3	111.5	79.7	53.9	40.7	23.9	18.0
2.800	88.4	107.9	77.1	52.1	39.4	23.1	17.4
2.850	86.9	104.5	74.6	50.4	38.1	22.4	16.8
2.900	85.5	101.2	72.3	48.8	36.9	21.6	16.3
2.950	84.0	98.1	70.1	47.3	35.7	21.0	15.8
3.000	82.5	95.1	67.9	45.8	34.6	20.3	15.3
3.050	80.6	92.2	65.9	44.4	33.5	19.7	14.8
3.100	78.6	89.5	63.9	43.1	32.5	19.1	14.3
3.150	76.7	86.9	62.1	41.8	31.5	18.5	13.9
3.200	74.7	84.4	60.3	40.6	30.6	18.0	13.5
3.250	72.0	82.0	58.5	39.4	29.7	17.4	13.1
3.300	69.4	79.6	56.9	38.3	28.9	16.9	12.7
3.350	66.7	77.4	55.3	37.2	28.1	16.4	12.4
3.400	64.0	75.3	53.8	36.2	27.3	16.0	12.0
3.450	61.8	73.3	52.3	35.2	26.5	15.5	11.7
3.500	59.6	71.3	50.9	34.3	25.8	15.1	11.4
3.550	57.4	69.4	49.6	33.3	25.1	14.7	11.1
3.600	55.2	67.6	48.3	32.5	24.4	14.3	10.8
3.650	53.6	65.8	47.0	31.6	23.8	13.9	10.5
3.700	52.1	64.2	45.8	30.8	23.2	13.6	10.2
3.750	50.5	62.5	44.7	30.0	22.6	13.2	9.9
3.800	48.9	61.0	43.6	29.3	22.0	12.9	9.7
3.850	48.0	59.5	42.5	28.5	21.5	12.6	9.4
3.900	47.2	58.0	41.5	27.8	20.9	12.3	9.2
3.950	46.3	56.6	40.5	27.2	20.4	12.0	9.0
4.000	45.4	55.3	39.5	26.5	19.9	11.7	8.8
4.050	44.2	54.0	38.6	25.9	19.5	11.4	8.6
4.100	43.0	52.7	37.7	25.3	19.0	11.1	8.4
4.150	41.8	51.5	36.8	24.7	18.6	10.9	8.2
4.200	40.6	50.3	36.0	24.1	18.1	10.6	8.0
4.250	40.0	49.2	35.1	23.6	17.7	10.4	7.8
4.300	39.4	48.1	34.4	23.0	17.3	10.1	7.6
4.350	38.7	47.1	33.6	22.5	16.9	9.9	7.4
4.400	38.1	46.0	32.9	22.0	16.6	9.7	7.3
4.450	37.3	45.0	32.2	21.6	16.2	9.5	7.1
4.500	36.6	44.1	31.5	21.1	15.9	9.3	7.0
4.550	35.8	43.1	30.8	20.6	15.5	9.1	6.8
4.600	35.0	42.2	30.2	20.2	15.2	8.9	6.7
4.650	34.7	41.4	29.5	19.8	14.9	8.7	6.5
4.700	34.4	40.5	28.9	19.4	14.6	8.5	6.4
4.750	34.0	39.7	28.3	19.0	14.3	8.3	6.3
4.800	33.7	38.9	27.8	18.6	14.0	8.2	6.1
4.850	33.5	38.1	27.2	18.2	13.7	8.0	6.0
4.900	33.3	37.4	26.7	17.9	13.4	7.9	5.9
4.950	33.0	36.6	26.2	17.5	13.2	7.7	5.8
5.000	32.8	35.9	25.7	17.2	12.9	7.5	5.7
