Periodo	EPU	Elástico	ED(Q=1.0)	ED(Q=1.5)	ED(Q=2)	ED(Q=3)	ED(Q=4)
				ESPECTROS DE PELIGRO UNIFORME POR FAMILIA Y EPOCA
	|	 TOTAL			|	 SUBDUCCIÓN			|	 PROFUNDIDAD INTERMEDIA
Periodo	| ACT	EF1	EF2	EF3	| ACT	EF1	EF2	EF3	| ACT	EF1	EF2	EF3
0.000	310.9	295.7	280.6	265.4	139.5	132.7	125.9	119.1	289.6	275.5	261.4	247.3	
0.100	400.3	377.1	354.1	331.3	136.9	129.0	121.1	113.3	371.0	349.5	328.2	307.1	
0.150	447.6	418.4	389.7	364.4	141.0	131.8	122.8	114.8	427.9	400.0	372.6	348.4	
0.200	385.9	367.3	349.9	335.4	141.0	134.2	127.9	122.6	369.9	352.1	335.5	321.5	
0.250	362.1	348.2	334.4	320.6	145.1	139.5	134.0	128.5	346.4	333.1	320.0	306.8	
0.300	345.4	334.3	326.7	319.4	151.8	146.9	143.6	140.4	329.8	319.2	312.0	305.0	
0.350	344.2	338.0	332.1	325.6	179.5	176.3	173.2	169.8	323.0	317.2	311.6	305.6	
0.400	349.1	343.2	336.9	329.9	212.9	209.3	205.4	201.2	321.4	316.0	310.2	303.8	
0.450	353.9	347.7	340.9	332.6	223.3	219.4	215.1	209.9	321.4	315.8	309.6	302.1	
0.500	356.9	350.3	341.0	331.8	233.4	229.1	223.0	217.0	319.3	313.5	305.1	296.9	
0.550	366.8	357.6	349.0	351.8	246.3	240.1	234.3	236.2	321.6	313.5	306.0	308.4	
0.600	374.1	369.8	374.4	376.9	257.8	254.9	258.0	259.7	321.0	317.4	321.3	323.4	
0.650	410.3	416.8	417.5	398.1	310.1	315.0	315.5	300.8	327.5	332.7	333.2	317.7	
0.700	461.6	460.1	438.1	409.9	377.4	376.2	358.2	335.2	342.6	341.5	325.1	304.2	
0.750	486.4	462.4	434.7	387.7	406.6	386.6	363.4	324.1	348.3	331.1	311.3	277.6	
0.800	486.5	459.4	411.9	375.8	415.7	392.5	352.0	321.1	335.6	316.9	284.2	259.3	
0.850	477.7	430.5	392.6	373.2	410.1	369.6	337.0	320.4	322.6	290.7	265.1	252.0	
0.900	448.4	408.6	386.9	384.9	386.9	352.5	333.8	332.1	296.0	269.7	255.4	254.1	
0.950	415.5	393.3	385.6	397.2	360.6	341.3	334.7	344.7	274.3	259.6	254.5	262.2	
1.000	398.1	386.9	396.7	399.9	347.6	337.9	346.5	349.2	262.7	255.3	261.8	263.9	
