Periodo	EPU	Elástico	ED(Q=1.0)	ED(Q=1.5)	ED(Q=2)	ED(Q=3)	ED(Q=4)
0.000	250.4	250.4	131.8	131.8	131.8	119.2	119.2
0.100	334.3	312.3	177.7	164.2	152.6	120.0	106.8
0.150	372.1	343.3	199.0	177.1	159.6	119.3	102.4
0.200	349.3	374.3	220.4	189.2	165.8	118.8	99.1
0.250	334.8	405.2	242.1	200.7	171.4	118.5	96.7
0.300	323.2	436.2	264.0	211.6	176.6	118.4	94.8
0.350	314.1	467.2	286.1	222.1	181.5	118.4	93.3
0.400	303.4	498.2	308.6	232.1	186.0	118.4	92.2
0.450	294.8	529.1	331.3	241.7	190.2	118.6	91.3
0.500	291.6	560.1	354.4	251.0	194.3	118.8	90.6
0.550	296.5	591.1	377.7	259.9	198.1	119.0	90.0
0.600	301.8	622.1	401.3	268.5	201.8	119.4	89.6
0.650	323.4	653.0	425.2	276.9	205.3	119.7	89.3
0.700	346.4	684.0	449.4	285.0	208.6	120.1	89.0
0.750	354.4	715.0	473.9	292.9	211.9	120.5	88.9
0.800	355.9	745.9	498.6	300.5	215.1	120.9	88.7
0.850	383.3	776.9	523.7	308.0	218.1	121.4	88.7
0.900	428.0	807.9	549.0	315.2	221.1	121.8	88.7
0.950	474.0	838.9	574.7	322.3	224.0	122.3	88.7
1.000	512.5	869.8	600.6	329.2	226.8	122.8	88.8
1.050	539.6	900.8	626.8	336.0	229.5	123.3	88.9
1.100	571.9	931.8	653.3	342.7	232.2	123.8	89.0
1.150	590.3	962.7	680.1	349.2	234.9	124.4	89.1
1.200	625.7	993.7	707.2	355.6	237.5	124.9	89.3
1.250	637.4	1009.2	720.9	358.7	238.8	125.2	89.4
1.300	667.7	1009.2	720.9	358.7	238.8	125.2	89.4
1.350	682.8	1009.2	720.9	358.7	238.8	125.2	89.4
1.400	705.8	1009.2	720.9	358.7	238.8	125.2	89.4
1.450	756.4	1009.2	720.9	358.7	238.8	125.2	89.4
1.500	806.5	1009.2	720.9	358.7	238.8	125.2	89.4
1.550	841.8	1009.2	720.9	358.7	238.8	125.2	89.4
1.600	908.9	1009.2	720.9	358.7	238.8	125.2	89.4
1.650	936.6	1009.2	720.9	358.7	238.8	125.2	89.4
1.700	977.3	1009.2	720.9	358.7	238.8	125.2	89.4
1.750	1009.2	1009.2	720.9	358.7	238.8	125.2	89.4
1.800	1002.2	1009.2	720.9	358.7	238.8	125.2	89.4
1.850	951.3	1009.2	720.9	358.7	238.8	125.2	89.4
1.900	884.2	1009.2	720.9	358.7	238.8	125.2	89.4
1.950	813.4	1009.2	720.9	358.7	238.8	125.2	89.4
2.000	745.0	1009.2	720.9	358.7	238.8	125.2	89.4
2.050	693.9	1009.2	720.9	358.7	238.8	125.2	89.4
2.100	646.5	1009.2	720.9	358.7	238.8	125.2	89.4
2.150	603.0	1009.2	720.9	358.7	238.8	125.2	89.4
2.200	563.4	989.2	706.6	352.4	234.7	123.1	87.9
2.250	512.2	914.5	653.2	328.5	219.4	115.4	82.5
2.300	467.0	847.1	605.1	306.8	205.5	108.3	77.5
2.350	428.3	786.3	561.7	286.9	192.7	101.8	72.9
2.400	394.9	731.3	522.4	268.8	181.0	95.8	68.7
2.450	371.7	681.4	486.7	252.3	170.3	90.3	64.8
2.500	350.1	636.0	454.3	237.1	160.4	85.2	61.2
2.550	329.7	594.6	424.7	223.1	151.3	80.6	57.9
2.600	310.6	556.9	397.8	210.3	142.9	76.2	54.8
2.650	287.4	522.3	373.1	198.5	135.2	72.2	52.0
2.700	266.4	490.6	350.5	187.5	128.0	68.5	49.4
2.750	247.9	461.6	329.7	177.4	121.4	65.1	46.9
2.800	230.6	434.8	310.6	168.0	115.2	61.9	44.6
2.850	220.3	410.2	293.0	159.3	109.4	58.9	42.5
2.900	210.6	387.4	276.7	151.3	104.1	56.1	40.5
2.950	201.5	366.4	261.7	143.8	99.1	53.5	38.7
3.000	193.3	346.9	247.8	136.8	94.4	51.0	36.9
3.050	184.6	328.9	234.9	130.2	90.1	48.8	35.3
3.100	177.5	312.1	222.9	124.1	86.0	46.6	33.8
3.150	170.9	296.5	211.8	118.4	82.2	44.6	32.4
3.200	164.4	282.0	201.4	113.1	78.6	42.7	31.0
3.250	156.6	268.5	191.8	108.1	75.3	41.0	29.7
